EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-09 16:00:00-05:00,0.4,0.51,25.98
2022-04-27 16:00:00-04:00,0.5,0.48,-4.53
2022-07-27 16:00:00-04:00,0.6,0.59,-2.37
2022-10-26 16:00:00-04:00,0.57,0.61,7.98
2023-02-08 16:00:00-05:00,0.52,0.56,7.82
2023-04-26 16:00:00-04:00,0.54,0.55,3.12
2023-07-26 16:00:00-04:00,0.67,0.68,1.39
2023-10-25 16:00:00-04:00,0.69,0.71,2.91
2024-02-07 16:00:00-05:00,0.61,0.62,0.59
2024-04-24 16:00:00-04:00,0.62,0.61,-0.94
2024-07-24 16:00:00-04:00,0.73,0.7,-4.05
2024-10-23 16:00:00-04:00,0.77,0.76,-1.12
2025-02-05 16:00:00-05:00,0.65,0.63,-2.69
2025-04-23 16:00:00-04:00,0.66,0.62,-5.59
2025-07-23 16:00:00-04:00,0.78,0.78,-0.25
2025-10-22 16:00:00-04:00,0.83,0.85,2.37
