EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-10 06:00:00-05:00,1.52,1.53,0.92
2022-04-26 06:00:00-04:00,1.23,1.29,4.54
2022-07-12 06:00:00-04:00,1.74,1.86,7.1
2022-10-12 06:00:00-04:00,1.85,1.97,6.68
2023-02-09 06:00:00-05:00,1.65,1.67,1.22
2023-04-25 06:00:00-04:00,1.39,1.5,8.23
2023-07-13 06:00:00-04:00,1.96,2.09,6.56
2023-10-10 06:00:00-04:00,2.15,2.25,4.44
2024-02-09 06:00:00-05:00,1.72,1.78,3.43
2024-04-23 06:00:00-04:00,1.52,1.61,5.96
2024-07-11 06:00:00-04:00,2.16,2.28,5.57
2024-10-08 06:00:00-04:00,2.29,2.31,0.74
2025-02-04 06:00:00-05:00,1.94,1.96,0.9
2025-04-24 06:00:00-04:00,1.49,1.48,-0.77
2025-07-17 06:00:00-04:00,2.03,2.12,4.48
2025-10-09 06:00:00-04:00,2.26,2.29,1.33
