EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-08 06:00:00-05:00,0.87,1.08,23.6
2022-05-03 06:00:00-04:00,1.57,1.62,3.47
2022-07-28 06:00:00-04:00,1.78,2.04,14.8
2022-11-01 06:00:00-04:00,1.4,1.78,27.03
2023-01-31 06:00:00-05:00,1.04,1.14,9.4
2023-05-02 06:00:00-04:00,0.99,1.23,24.68
2023-08-01 06:00:00-04:00,0.58,0.67,15.28
2023-10-31 06:00:00-04:00,-0.34,-0.17,49.96
2024-01-30 06:00:00-05:00,-0.18,0.1,154.7
2024-05-01 06:00:00-04:00,0.51,0.82,60.11
2024-07-30 08:00:00-04:00,0.46,0.6,30.19
2024-10-29 06:00:00-04:00,0.61,1.06,73.28
2025-02-04 06:00:00-05:00,0.46,0.63,37.2
2025-04-29 06:00:00-04:00,0.67,0.92,36.49
2025-08-05 06:00:00-04:00,0.57,0.78,35.94
2025-11-04 07:00:00-05:00,0.63,0.87,37.43
