EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 06:00:00-05:00,2.33,2.61,12.1
2022-04-28 06:00:00-04:00,1.72,1.83,6.55
2022-07-26 06:00:00-04:00,2.62,2.73,4.16
2022-10-25 06:00:00-04:00,2.75,2.69,-2.22
2023-01-31 06:00:00-05:00,2.92,3.85,31.71
2023-04-25 06:00:00-04:00,1.81,2.35,30.09
2023-07-25 06:00:00-04:00,2.5,3.21,28.61
2023-10-24 06:00:00-04:00,2.8,2.9,3.62
2024-01-30 06:00:00-05:00,3.22,3.28,1.9
2024-04-23 06:00:00-04:00,2.36,3.1,31.2
2024-07-23 06:00:00-04:00,3.27,3.58,9.32
2024-10-22 06:00:00-04:00,3.13,3.35,7.14
2025-01-30 06:00:00-05:00,3.27,4.43,35.51
2025-04-22 06:00:00-04:00,2.42,2.57,6.0
2025-07-22 06:00:00-04:00,2.97,3.03,2.14
2025-10-21 06:00:00-04:00,2.9,2.96,2.14
