EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-24 08:00:00-05:00,0.07,-0.17,-342.86
2021-05-05 08:00:00-04:00,0.22,0.32,44.0
2021-08-05 08:00:00-04:00,1.59,1.91,20.45
2021-11-05 08:00:00-04:00,2.72,3.0,10.5
2022-02-25 08:00:00-05:00,0.03,0.24,700.0
2022-05-04 08:00:00-04:00,0.09,0.15,66.67
2022-08-03 08:00:00-04:00,1.3,1.45,11.43
2022-11-03 08:00:00-04:00,2.59,2.88,11.1
2023-02-27 08:00:00-05:00,-0.18,-0.21,-17.81
2023-05-04 08:00:00-04:00,,-0.03,-1110.1
2023-08-03 08:00:00-04:00,1.15,0.94,-18.46
2023-11-02 08:00:00-04:00,3.41,3.5,2.54
2024-02-27 08:00:00-05:00,-0.11,,100.0
2024-05-02 07:00:00-04:00,0.01,0.15,1400.0
2024-08-01 08:00:00-04:00,1.26,1.76,39.84
2024-11-06 08:00:00-05:00,3.52,3.37,-4.28
2025-02-25 08:00:00-05:00,-0.15,-0.06,60.72
2025-05-01 08:00:00-04:00,0.02,-0.04,-339.95
2025-08-06 08:00:00-04:00,1.57,1.58,0.54
2025-11-03 08:00:00-05:00,3.09,3.39,9.67
