EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-17 07:00:00-05:00,1.92,2.28,18.65
2022-04-21 07:00:00-04:00,3.09,4.23,36.7
2022-07-21 07:00:00-04:00,7.39,7.59,2.66
2022-10-20 07:00:00-04:00,4.59,4.76,3.65
2023-02-16 07:00:00-05:00,1.98,1.79,-9.67
2023-04-20 07:00:00-04:00,3.19,2.46,-22.83
2023-07-20 07:00:00-04:00,6.12,5.89,-3.69
2023-10-19 07:00:00-04:00,3.44,3.5,1.84
2024-02-22 07:00:00-05:00,1.27,1.3,2.14
2024-04-25 07:00:00-04:00,1.93,1.85,-4.03
2024-07-25 07:00:00-04:00,4.9,4.98,1.68
2024-10-24 07:00:00-04:00,3.17,3.26,2.76
2025-02-20 07:00:00-05:00,0.89,0.97,8.53
2025-04-24 07:00:00-04:00,1.48,1.42,-4.1
2025-07-24 07:00:00-04:00,5.11,5.17,1.25
2025-10-23 07:00:00-04:00,3.37,3.39,0.66
