EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-03 16:00:00-05:00,2.68,3.08,15.05
2021-05-05 16:00:00-04:00,2.43,2.74,12.65
2021-08-04 16:00:00-04:00,2.45,2.83,15.28
2021-11-03 16:00:00-04:00,3.26,3.42,5.05
2022-02-02 16:00:00-05:00,2.76,2.98,8.04
2022-05-04 16:00:00-04:00,2.94,3.12,6.23
2022-08-03 16:00:00-04:00,2.12,2.25,6.33
2022-11-02 16:00:00-04:00,2.54,2.66,4.85
2023-02-01 16:00:00-05:00,0.63,0.75,18.88
2023-05-03 16:00:00-04:00,0.13,0.26,99.31
2023-08-02 16:00:00-04:00,0.15,0.34,125.7
2023-11-01 16:00:00-04:00,1.77,2.39,34.65
2024-01-31 16:00:00-05:00,1.66,2.1,26.72
2024-05-01 16:00:00-04:00,1.22,1.39,14.15
2024-07-30 16:00:00-04:00,0.71,0.87,21.89
2024-10-29 16:00:00-04:00,1.85,1.88,1.73
2025-01-28 16:00:00-05:00,1.21,1.61,33.22
2025-04-29 16:00:00-04:00,1.0,1.42,41.61
2025-07-29 16:00:00-04:00,-0.04,0.27,742.55
2025-11-03 16:00:00-05:00,2.11,2.22,5.12
