EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-22 06:00:00-05:00,0.42,0.61,43.89
2021-04-23 06:00:00-04:00,0.48,0.63,32.55
2021-07-23 06:00:00-04:00,0.53,0.77,43.98
2021-10-22 06:00:00-04:00,0.53,0.65,23.78
2022-01-20 06:00:00-05:00,0.48,0.43,-9.74
2022-04-22 06:00:00-04:00,0.47,0.55,16.13
2022-07-22 06:00:00-04:00,0.53,0.59,11.21
2022-10-21 06:00:00-04:00,0.54,0.43,-20.98
2023-01-20 06:00:00-05:00,0.66,0.7,6.61
2023-04-21 06:00:00-04:00,0.65,0.62,-5.26
2023-07-21 06:00:00-04:00,0.59,0.59,0.12
2023-10-20 06:00:00-04:00,0.58,0.49,-15.48
2024-01-19 06:00:00-05:00,0.42,0.39,-7.5
2024-04-19 06:00:00-04:00,0.44,0.37,-15.33
2024-07-19 06:00:00-04:00,0.48,0.52,8.03
2024-10-18 06:00:00-04:00,0.52,0.49,-6.23
2025-01-17 06:00:00-05:00,0.55,0.56,2.15
2025-04-17 06:00:00-04:00,0.51,0.51,0.5
2025-07-18 06:00:00-04:00,0.56,0.59,5.35
2025-10-17 06:00:00-04:00,0.6,0.61,1.89
