EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-01 16:00:00-05:00,0.97,1.04,6.72
2022-05-19 16:00:00-04:00,1.0,0.97,-2.74
2022-08-18 16:00:00-04:00,0.99,1.11,11.83
2022-11-17 16:00:00-05:00,0.82,1.0,22.52
2023-02-28 16:00:00-05:00,1.24,1.31,5.69
2023-05-18 16:00:00-04:00,1.07,1.09,2.26
2023-08-17 16:00:00-04:00,1.16,1.32,13.46
2023-11-16 16:00:00-05:00,1.22,1.33,8.83
2024-03-05 16:00:00-05:00,1.65,1.82,10.2
2024-05-23 16:00:00-04:00,1.36,1.46,7.72
2024-08-22 16:00:00-04:00,1.49,1.59,6.44
2024-11-21 16:00:00-05:00,1.4,1.48,6.0
2025-03-04 16:00:00-05:00,1.66,1.79,7.92
2025-05-22 16:00:00-04:00,1.43,1.47,2.55
2025-08-21 16:00:00-04:00,1.54,1.56,1.36
2025-11-20 16:00:00-05:00,1.4,,
