EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-25 06:00:00-05:00,1.02,1.08,5.72
2022-04-26 06:00:00-04:00,1.02,1.15,13.11
2022-07-26 06:00:00-04:00,1.11,1.16,4.16
2022-10-25 06:00:00-04:00,1.14,1.21,6.33
2023-01-24 06:00:00-05:00,1.25,1.27,1.83
2023-04-25 06:00:00-04:00,1.13,1.22,7.52
2023-07-25 06:00:00-04:00,1.18,1.29,9.73
2023-10-24 06:00:00-04:00,1.22,1.25,2.64
2024-01-23 06:00:00-05:00,1.25,1.29,3.46
2024-04-23 06:00:00-04:00,1.23,1.34,8.6
2024-07-25 06:00:00-04:00,1.3,1.41,8.61
2024-10-22 06:00:00-04:00,1.34,1.45,8.31
2025-01-28 07:00:00-05:00,1.38,1.54,11.8
2025-04-22 06:00:00-04:00,1.37,1.47,7.52
2025-07-22 06:00:00-04:00,1.43,1.56,9.47
2025-10-21 06:00:00-04:00,1.41,1.7,20.64
