EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-28 07:00:00-05:00,1.62,1.7,4.81
2021-04-27 07:00:00-04:00,1.65,2.06,24.81
2021-07-27 07:00:00-04:00,2.67,2.65,-0.79
2021-10-26 07:00:00-04:00,2.05,2.09,1.94
2022-01-27 07:00:00-05:00,1.35,1.34,-0.79
2022-04-26 07:00:00-04:00,1.53,1.61,4.92
2022-07-27 07:00:00-04:00,2.74,2.41,-12.02
2022-10-25 07:00:00-04:00,2.57,2.83,10.27
2023-01-26 07:00:00-05:00,1.85,1.89,1.98
2023-04-25 07:00:00-04:00,1.79,2.04,13.97
2023-07-25 07:00:00-04:00,2.69,3.29,22.31
2023-10-24 07:00:00-04:00,2.78,3.2,15.05
2024-01-25 07:00:00-05:00,1.8,1.81,0.59
2024-04-23 07:00:00-04:00,2.22,2.17,-2.18
2024-07-23 07:00:00-04:00,3.49,3.7,6.11
2024-10-22 07:00:00-04:00,3.54,3.37,-4.84
2025-01-30 07:00:00-05:00,2.06,2.09,1.62
2025-04-29 07:00:00-04:00,2.16,2.25,4.13
2025-07-22 07:00:00-04:00,3.81,3.38,-11.19
2025-10-28 07:00:00-04:00,3.44,3.59,4.38
