EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-06 07:00:00-05:00,2.78,3.12,12.23
2022-04-07 04:00:00-04:00,2.12,2.37,11.76
2022-06-30 05:00:00-04:00,2.52,2.66,5.46
2022-10-06 05:00:00-04:00,2.81,3.17,12.62
2023-01-05 08:00:00-05:00,2.89,2.83,-2.1
2023-04-06 07:00:00-04:00,1.84,1.98,7.39
2023-06-30 08:00:00-04:00,2.83,2.91,2.85
2023-10-05 07:00:00-04:00,3.37,3.7,9.63
2024-01-05 07:00:00-05:00,3.0,3.19,6.46
2024-04-11 07:00:00-04:00,2.1,2.26,7.57
2024-07-03 07:00:00-04:00,3.45,3.57,3.36
2024-10-03 07:00:00-04:00,4.07,4.32,6.03
2025-01-10 08:00:00-05:00,3.31,3.25,-1.92
2025-04-09 16:00:00-04:00,2.27,2.63,15.94
2025-07-01 16:00:00-04:00,3.29,3.22,-2.27
2025-10-06 16:00:00-04:00,3.41,3.63,6.51
