EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-23 07:00:00-05:00,0.86,0.81,-5.42
2022-05-03 07:00:00-04:00,0.19,0.29,50.85
2022-08-02 07:00:00-04:00,1.19,1.19,0.06
2022-11-01 07:00:00-04:00,1.35,1.32,-2.29
2023-02-21 07:00:00-05:00,1.07,1.3,21.4
2023-05-02 07:00:00-04:00,0.26,0.54,105.13
2023-08-01 07:00:00-04:00,1.65,1.78,8.02
2023-11-02 07:00:00-04:00,1.54,1.92,25.07
2024-02-13 06:00:00-05:00,1.12,1.19,6.44
2024-04-30 06:00:00-04:00,0.75,0.95,27.27
2024-08-06 06:00:00-04:00,1.68,1.92,13.98
2024-11-07 06:00:00-05:00,1.63,0.96,-41.16
2025-02-13 06:00:00-05:00,1.13,1.3,15.31
2025-05-08 06:00:00-04:00,0.8,0.5,-37.22
2025-08-05 06:00:00-04:00,1.82,2.05,12.87
2025-11-04 06:00:00-05:00,1.7,1.67,-1.48
