EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-23 07:00:00-05:00,0.91,0.78,-14.14
2022-05-18 07:00:00-04:00,0.59,0.49,-16.79
2022-08-17 07:00:00-04:00,0.65,0.69,5.54
2022-11-16 07:00:00-05:00,0.8,0.91,13.8
2023-02-22 07:00:00-05:00,0.89,0.89,0.2
2023-05-17 07:00:00-04:00,0.71,0.76,6.51
2023-08-16 07:00:00-04:00,0.78,0.85,9.05
2023-11-15 07:00:00-05:00,0.99,1.03,4.06
2024-02-28 07:00:00-05:00,1.13,1.22,8.34
2024-05-22 07:00:00-04:00,0.88,0.93,6.14
2024-08-21 07:00:00-04:00,0.92,0.96,3.87
2024-11-20 07:00:00-05:00,1.1,1.14,4.02
2025-02-26 07:00:00-05:00,1.17,1.23,5.31
2025-05-21 07:00:00-04:00,0.91,0.92,0.79
2025-08-20 07:00:00-04:00,1.01,1.1,8.45
2025-11-19 08:00:00-05:00,1.22,,
