EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-04 16:00:00-05:00,0.51,0.6,17.88
2021-05-04 16:00:00-04:00,0.56,0.74,32.11
2021-07-29 16:00:00-04:00,0.49,0.78,60.0
2021-11-02 16:00:00-04:00,0.53,0.55,4.71
2022-02-01 19:00:00-05:00,0.16,0.34,116.3
2022-04-27 06:00:00-04:00,0.33,0.57,70.61
2022-07-27 06:00:00-04:00,0.28,-0.09,-132.47
2022-10-27 16:00:00-04:00,0.26,0.4,53.75
2023-02-01 06:00:00-05:00,1.1,1.18,6.79
2023-04-27 16:00:00-04:00,1.48,1.58,6.84
2023-07-27 16:00:00-04:00,1.71,1.86,8.57
2023-10-25 06:00:00-04:00,1.7,1.82,6.95
2024-01-25 16:00:00-05:00,1.9,1.67,-12.28
2024-04-26 12:00:00-04:00,1.86,2.0,7.46
2024-07-31 07:00:00-04:00,2.27,2.49,9.58
2024-10-23 16:00:00-04:00,2.42,2.61,7.64
2025-01-29 07:00:00-05:00,2.28,2.57,12.61
2025-04-24 16:00:00-04:00,2.47,2.58,4.51
2025-07-23 16:00:00-04:00,2.67,2.84,6.29
2025-10-23 06:00:00-04:00,2.4,2.41,0.39
