EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-27 08:00:00-05:00,3.13,3.17,1.34
2022-04-28 07:00:00-04:00,2.76,2.62,-5.16
2022-07-28 15:00:00-04:00,2.15,1.79,-16.67
2022-10-27 13:00:00-04:00,1.81,1.86,2.68
2023-01-26 09:00:00-05:00,1.71,1.74,1.57
2023-05-02 07:00:00-04:00,1.64,1.69,2.99
2023-07-28 07:00:00-04:00,1.73,2.02,16.91
2023-10-27 07:00:00-04:00,1.77,2.17,22.4
2024-02-08 07:00:00-05:00,1.63,1.72,5.8
2024-04-26 07:00:00-04:00,2.03,2.38,17.22
2024-07-26 07:00:00-04:00,2.28,2.26,-0.85
2024-11-01 07:00:00-04:00,2.35,2.57,9.54
2025-02-05 07:00:00-05:00,2.21,2.12,-4.07
2025-05-02 07:00:00-04:00,2.13,2.23,4.68
2025-08-01 07:00:00-04:00,2.13,2.24,4.94
2025-10-31 07:00:00-04:00,2.54,2.81,10.5
