EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-10 16:00:00-05:00,4.54,5.41,19.04
2022-05-26 16:00:00-04:00,4.48,6.3,40.51
2022-08-25 16:00:00-04:00,4.97,5.7,14.8
2022-12-01 16:00:00-05:00,4.15,5.34,28.55
2023-03-09 16:00:00-05:00,5.7,6.68,17.19
2023-05-25 16:00:00-04:00,6.85,6.88,0.41
2023-08-24 16:00:00-04:00,5.86,6.02,2.7
2023-11-30 16:00:00-05:00,4.97,5.07,1.91
2024-03-14 16:00:00-04:00,7.54,8.08,7.23
2024-05-30 16:00:00-04:00,6.28,6.47,3.06
2024-08-29 16:00:00-04:00,5.45,5.3,-2.72
2024-12-05 16:00:00-05:00,4.52,5.14,13.63
2025-03-13 16:00:00-04:00,7.15,8.46,18.37
2025-05-29 16:00:00-04:00,5.8,6.7,15.5
2025-08-28 16:00:00-04:00,5.04,5.78,14.65
2025-12-04 16:00:00-05:00,4.52,,
