EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-19 05:00:00-05:00,4.31,4.48,3.96
2022-04-14 05:00:00-04:00,5.35,5.49,2.6
2022-07-15 05:00:00-04:00,5.21,5.57,6.94
2022-10-14 05:00:00-04:00,5.44,5.79,6.5
2023-01-13 05:00:00-05:00,5.17,5.34,3.22
2023-04-14 05:00:00-04:00,6.08,6.26,3.03
2023-07-14 05:00:00-04:00,5.98,6.14,2.68
2023-10-13 05:00:00-04:00,6.35,6.56,3.34
2024-01-12 05:00:00-05:00,5.99,6.16,2.89
2024-04-16 05:00:00-04:00,6.62,6.91,4.44
2024-07-16 05:00:00-04:00,6.63,6.8,2.49
2024-10-15 06:00:00-04:00,7.03,7.15,1.7
2025-01-16 06:00:00-05:00,6.74,6.81,1.08
2025-04-17 05:00:00-04:00,7.29,7.2,-1.28
2025-07-29 05:00:00-04:00,4.45,4.08,-8.23
2025-10-28 05:00:00-04:00,2.81,2.92,3.99
