EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-20 08:00:00-05:00,2.63,2.66,1.31
2022-04-21 07:00:00-04:00,2.56,2.57,0.39
2022-07-21 07:00:00-04:00,2.84,2.93,3.12
2022-10-20 07:00:00-04:00,3.05,3.05,-0.09
2023-01-24 07:00:00-05:00,2.78,2.67,-3.93
2023-04-20 07:00:00-04:00,2.58,2.67,3.42
2023-07-26 07:00:00-04:00,2.77,2.57,-7.29
2023-10-19 07:00:00-04:00,2.43,2.51,3.15
2024-01-25 07:00:00-05:00,2.56,2.71,5.75
2024-04-25 07:00:00-04:00,2.53,2.69,6.51
2024-07-25 07:00:00-04:00,2.71,2.74,1.11
2024-10-24 07:00:00-04:00,2.78,2.75,-1.08
2025-01-23 07:00:00-05:00,2.79,2.91,4.4
2025-04-24 07:00:00-04:00,2.74,2.7,-1.43
2025-07-24 07:00:00-04:00,2.91,3.15,8.31
2025-10-23 07:00:00-04:00,2.98,3.01,1.14
