EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 06:00:00-05:00,3.1,3.59,15.64
2022-04-26 06:00:00-04:00,2.88,3.05,5.82
2022-07-26 06:00:00-04:00,3.16,3.29,4.13
2022-10-25 06:00:00-04:00,2.85,2.99,4.88
2023-01-31 06:00:00-05:00,3.58,3.62,1.04
2023-04-25 06:00:00-04:00,2.21,2.2,-0.4
2023-08-08 06:00:00-04:00,2.5,2.54,1.8
2023-10-26 06:00:00-04:00,1.56,1.57,0.57
2024-01-30 06:00:00-05:00,2.46,2.47,0.41
2024-04-23 06:00:00-04:00,1.34,1.43,6.74
2024-07-23 06:00:00-04:00,1.99,1.79,-10.1
2024-10-24 06:00:00-04:00,1.62,1.76,8.45
2025-01-30 06:00:00-05:00,2.53,2.75,8.6
2025-04-29 06:00:00-04:00,1.38,1.49,7.91
2025-07-29 06:00:00-04:00,1.57,1.55,-1.02
2025-10-28 06:00:00-04:00,1.3,1.74,33.94
