EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-06 07:00:00-05:00,1.34,1.68,25.54
2022-03-31 07:00:00-04:00,1.4,1.59,13.87
2022-06-30 07:00:00-04:00,0.92,0.96,3.89
2022-10-13 07:00:00-04:00,0.77,0.8,3.75
2023-01-05 07:00:00-05:00,1.14,1.16,1.5
2023-03-28 07:00:00-04:00,1.11,1.16,4.58
2023-06-27 07:00:00-04:00,1.07,1.0,-6.41
2023-10-12 07:00:00-04:00,0.69,0.67,-2.19
2024-01-04 07:00:00-05:00,0.62,0.66,6.44
2024-03-28 07:00:00-04:00,0.82,1.2,45.75
2024-06-27 07:00:00-04:00,0.71,0.63,-11.03
2024-10-15 07:00:00-04:00,0.36,0.39,9.39
2025-01-10 07:00:00-05:00,-0.1,-0.31,-213.64
2025-04-08 07:00:00-04:00,0.52,0.63,20.42
2025-06-26 07:00:00-04:00,0.34,0.38,11.91
2025-10-14 08:00:00-04:00,0.26,,
