EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-04 07:00:00-05:00,0.73,0.76,4.25
2021-05-03 07:00:00-04:00,1.47,1.61,9.63
2021-08-03 07:00:00-04:00,0.79,0.87,9.84
2021-11-02 07:00:00-04:00,0.79,0.92,15.89
2022-02-03 07:00:00-05:00,0.67,0.71,5.38
2022-05-02 07:00:00-04:00,1.69,1.79,5.84
2022-08-02 07:00:00-04:00,0.85,0.91,6.44
2022-11-01 07:00:00-04:00,0.86,0.96,11.64
2023-02-02 07:00:00-05:00,0.75,0.8,7.37
2023-05-01 07:00:00-04:00,1.58,1.61,1.85
2023-08-01 07:00:00-04:00,0.85,0.92,8.49
2023-10-31 07:00:00-04:00,0.91,1.0,9.84
2024-02-01 07:00:00-05:00,1.08,1.1,1.44
2024-05-01 07:00:00-04:00,1.91,1.97,3.33
2024-07-31 07:00:00-04:00,0.63,0.67,6.24
2024-10-31 07:00:00-04:00,0.7,0.76,8.21
2025-02-04 07:00:00-05:00,1.43,1.43,-0.31
2025-05-06 07:00:00-04:00,2.18,2.27,4.28
2025-07-30 07:00:00-04:00,0.71,0.76,7.6
2025-10-30 07:00:00-04:00,0.81,0.83,2.24
