EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-15 07:00:00-05:00,0.58,0.64,9.44
2021-04-14 08:00:00-04:00,0.72,1.05,45.87
2021-07-14 07:00:00-04:00,0.98,1.38,40.89
2021-10-14 06:00:00-04:00,1.0,1.17,17.18
2022-01-14 06:00:00-05:00,1.13,1.38,22.11
2022-04-14 06:00:00-04:00,0.81,0.88,9.01
2022-07-15 06:00:00-04:00,0.81,0.74,-8.85
2022-10-14 06:00:00-04:00,1.09,0.85,-22.37
2023-01-13 06:00:00-05:00,0.61,0.67,10.41
2023-04-14 06:00:00-04:00,1.12,1.23,10.2
2023-07-14 06:00:00-04:00,1.16,1.25,7.89
2023-10-13 06:00:00-04:00,1.24,1.48,19.82
2024-01-12 06:00:00-05:00,0.87,0.86,-1.39
2024-04-12 06:00:00-04:00,1.05,1.2,14.72
2024-07-12 06:00:00-04:00,1.29,1.33,3.23
2024-10-11 06:00:00-04:00,1.29,1.42,10.43
2025-01-15 06:00:00-05:00,1.36,1.43,5.46
2025-04-11 06:00:00-04:00,1.23,1.39,13.31
2025-07-15 06:00:00-04:00,1.41,1.6,13.6
2025-10-14 06:00:00-04:00,1.55,1.66,7.43
