EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-17 07:00:00-05:00,0.5,0.51,2.21
2022-05-17 06:00:00-04:00,0.49,0.43,-12.1
2022-08-16 07:00:00-04:00,0.54,0.59,10.02
2022-11-15 07:00:00-05:00,0.44,0.5,13.95
2023-02-21 07:00:00-05:00,0.5,0.57,12.88
2023-05-18 07:00:00-04:00,0.44,0.49,11.64
2023-08-17 06:00:00-04:00,0.57,0.61,7.88
2023-11-16 06:00:00-05:00,0.51,0.51,0.39
2024-02-20 06:00:00-05:00,0.55,0.6,9.35
2024-05-16 06:00:00-04:00,0.53,0.6,14.24
2024-08-15 06:00:00-04:00,0.65,0.67,3.76
2024-11-19 06:00:00-05:00,0.53,0.58,8.84
2025-02-20 06:00:00-05:00,0.65,0.66,2.04
2025-05-15 06:00:00-04:00,0.58,0.61,5.64
2025-08-21 06:00:00-04:00,0.74,0.68,-7.97
2025-11-20 08:00:00-05:00,0.6,,
