Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-30 21:00:00,0.56,0.64,12.93
2020-07-30 20:00:00,0.52,0.65,24.45
2020-10-29 20:00:00,0.7,0.73,4.48
2021-01-27 21:00:00,1.42,1.68,18.67
2021-04-28 20:00:00,0.99,1.4,41.59
2021-07-27 20:00:00,1.01,1.3,28.18
2021-10-28 20:00:00,1.24,1.24,0.17
2022-01-27 21:00:00,1.89,2.1,11.16
2022-04-28 20:00:00,1.43,1.52,6.48
2022-07-28 20:00:00,1.15,1.2,3.93
2022-10-27 20:00:00,1.27,1.29,1.44
2023-02-02 21:00:00,1.95,1.88,-3.78
2023-05-04 20:00:00,1.43,1.52,6.28
2023-08-03 20:00:00,1.19,1.26,5.47
2023-11-02 20:00:00,1.39,1.46,4.82
2024-02-01 21:00:00,2.1,2.18,3.66
2024-05-02 20:00:00,1.5,1.53,2.05
2024-08-01 20:00:00,1.34,1.4,4.36
2024-10-31 20:00:00,1.6,1.64,2.28
2025-01-30 21:00:00,2.35,2.4,2.26
2025-05-01 20:00:00,1.62,1.65,1.69
2025-07-31 20:00:00,1.43,1.57,9.48
2025-10-30 20:00:00,1.77,1.85,4.52
2026-01-29 21:00:00,2.67,2.84,6.25
