Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-14 20:00:00,0.89,0.89,0.4
2020-08-13 20:00:00,0.95,1.06,11.88
2020-11-12 21:00:00,1.17,1.25,6.71
2021-02-18 21:00:00,1.28,1.39,8.75
2021-05-20 20:00:00,1.51,1.63,7.92
2021-08-19 20:00:00,1.78,1.9,6.82
2021-11-18 21:00:00,1.96,1.94,-0.93
2022-02-16 21:00:00,1.85,1.89,1.89
2022-05-19 20:00:00,1.9,1.85,-2.77
2022-08-18 20:00:00,1.78,1.94,8.69
2022-11-17 21:00:00,1.74,2.03,16.87
2023-02-16 21:00:00,1.92,2.03,5.68
2023-05-18 20:00:00,1.83,2.0,9.49
2023-08-17 20:00:00,1.75,1.9,8.88
2023-11-16 21:00:00,1.99,2.12,6.44
2024-02-15 21:00:00,1.91,2.13,11.78
2024-05-16 20:00:00,1.99,2.09,5.27
2024-08-15 20:00:00,2.03,2.12,4.68
2024-11-14 21:00:00,2.19,2.32,5.71
2025-02-13 21:00:00,2.3,2.38,3.67
2025-05-15 20:00:00,2.31,2.39,3.45
2025-08-14 20:00:00,2.36,2.48,5.13
2025-11-13 21:00:00,2.09,2.17,3.65
2026-02-12 21:00:00,2.21,2.38,7.89
