Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-28 21:00:00,0.18,0.18,-2.32
2020-07-28 20:00:00,0.17,0.18,8.78
2020-10-27 10:00:00,0.36,0.41,15.49
2021-01-26 21:00:00,0.48,0.52,9.46
2021-04-27 20:00:00,0.44,0.52,18.31
2021-07-27 20:00:00,0.54,0.63,16.95
2021-10-26 20:00:00,0.66,0.73,10.04
2022-02-01 21:00:00,0.76,0.92,21.38
2022-05-03 20:00:00,0.92,1.13,22.23
2022-08-02 20:00:00,1.04,1.05,1.37
2022-11-01 20:00:00,0.7,0.67,-4.83
2023-01-31 21:00:00,0.67,0.69,2.51
2023-05-02 20:00:00,0.56,0.6,6.5
2023-08-01 20:00:00,0.57,0.58,1.05
2023-10-31 20:00:00,0.68,0.7,3.59
2024-01-30 21:00:00,0.77,0.77,-0.01
2024-04-30 20:00:00,0.61,0.62,2.04
2024-07-30 20:00:00,0.68,0.69,1.26
2024-10-29 20:00:00,0.92,0.92,0.46
2025-02-04 21:00:00,1.09,1.09,0.36
2025-05-06 20:00:00,0.93,0.96,2.83
2025-08-05 20:00:00,0.48,0.48,-0.55
2025-11-04 21:00:00,0.68,0.75,10.04
2026-02-03 21:00:00,1.32,1.53,15.98
