Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-30 21:00:00,0.31,0.25,-19.8
2020-07-30 20:00:00,0.08,0.52,543.11
2020-10-29 20:00:00,0.38,0.62,64.25
2021-02-02 21:00:00,0.35,0.7,100.1
2021-04-29 20:00:00,0.47,0.79,67.3
2021-07-29 20:00:00,0.61,0.76,23.06
2021-10-28 20:00:00,0.44,0.31,-31.21
2022-02-03 21:00:00,0.18,1.39,657.12
2022-04-28 20:00:00,0.42,-0.38,-190.58
2022-07-28 20:00:00,0.12,-0.2,-272.53
2022-10-27 20:00:00,0.21,0.28,35.53
2023-02-02 21:00:00,0.17,0.03,-82.2
2023-04-27 20:00:00,0.21,0.31,44.29
2023-08-03 20:00:00,0.34,0.65,91.19
2023-10-26 20:00:00,0.59,0.94,58.7
2024-02-01 21:00:00,0.8,1.0,24.44
2024-04-30 20:00:00,0.83,0.98,18.16
2024-08-01 16:00:00,1.02,1.26,23.76
2024-10-31 20:00:00,1.14,1.43,25.17
2025-02-06 21:00:00,1.48,1.86,25.36
2025-05-01 20:00:00,1.36,1.59,16.77
2025-07-31 20:00:00,1.32,1.68,27.19
2025-10-30 20:00:00,1.56,1.95,25.2
2026-02-05 21:00:00,1.95,1.95,0.22
