Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-06-04 20:00:00,0.51,0.51,0.03
2020-09-03 20:00:00,0.52,0.54,4.0
2020-12-10 21:00:00,0.62,0.64,2.42
2021-03-04 21:00:00,0.66,0.66,0.58
2021-06-03 20:00:00,0.65,0.66,2.47
2021-09-02 20:00:00,0.69,0.7,0.72
2021-12-09 21:00:00,0.78,0.78,0.51
2022-03-03 21:00:00,0.81,0.84,3.01
2022-05-26 11:00:00,0.87,0.91,4.05
2022-09-01 20:00:00,0.95,0.97,1.92
2022-12-08 21:00:00,1.03,1.05,1.64
2023-03-02 21:00:00,1.02,1.03,1.65
2023-06-01 20:00:00,1.01,1.03,1.75
2023-08-31 20:00:00,1.04,1.05,1.03
2023-12-07 21:00:00,1.1,1.11,0.94
2024-03-07 21:00:00,1.04,1.1,5.44
2024-06-12 20:00:00,1.08,1.1,1.08
2024-09-05 20:00:00,1.21,1.24,2.79
2024-12-12 21:00:00,1.39,1.42,2.04
2025-03-06 21:00:00,1.51,1.6,6.11
2025-06-05 20:00:00,1.57,1.58,0.59
2025-09-04 20:00:00,1.66,1.69,1.6
2025-12-11 21:00:00,1.12,1.74,55.45
2026-03-04 21:00:00,2.02,2.05,1.32
