Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2022-02-25 19:00:00,1.19,1.19,
2022-05-12 10:00:00,1.01,1.81,80.32
2022-08-04 10:00:00,0.64,1.66,158.13
2022-11-08 11:00:00,0.77,0.54,-30.46
2023-02-16 11:00:00,0.27,0.17,-36.33
2023-05-04 10:00:00,0.95,0.39,-59.13
2023-08-03 10:00:00,0.78,1.45,85.9
2023-11-06 11:00:00,1.67,1.99,19.23
2024-02-27 10:00:00,2.17,1.51,-30.24
2024-05-09 10:00:00,1.29,1.82,41.36
2024-08-06 10:00:00,1.69,1.68,-0.44
2024-11-04 11:00:00,2.68,2.74,2.3
2025-02-18 11:00:00,2.14,2.44,14.06
2025-05-06 10:00:00,2.15,0.38,-82.36
2025-08-07 10:00:00,1.83,1.91,4.24
2025-11-07 12:00:00,3.05,2.97,-2.73
2026-02-24 11:00:00,2.43,1.38,-43.11
