Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-28 20:00:00,0.94,1.34,42.82
2020-08-27 20:00:00,1.4,1.92,37.49
2020-11-24 21:00:00,1.42,2.03,42.91
2021-02-25 21:00:00,2.14,2.7,26.1
2021-05-27 20:00:00,1.62,2.13,31.5
2021-08-26 20:00:00,2.04,2.24,9.76
2021-11-23 21:00:00,2.3,2.37,2.97
2022-02-24 21:00:00,1.95,1.72,-11.95
2022-05-26 20:00:00,1.4,1.84,31.17
2022-08-25 20:00:00,1.64,1.68,2.61
2022-11-21 21:00:00,1.61,2.3,43.09
2023-03-02 21:00:00,1.64,1.8,9.88
2023-06-01 19:00:00,0.85,1.31,53.67
2023-08-31 20:00:00,1.14,1.74,53.07
2023-11-30 21:00:00,1.46,1.88,29.19
2024-02-29 21:00:00,1.72,2.2,27.92
2024-05-30 20:00:00,1.29,1.27,-1.92
2024-08-29 20:00:00,1.71,1.89,10.22
2024-11-26 21:00:00,1.4,1.58,13.26
2025-02-27 21:00:00,2.52,2.68,6.42
2025-05-29 20:00:00,1.69,1.55,-8.38
2025-08-28 20:00:00,2.29,2.32,1.24
2025-11-25 21:00:00,2.48,2.59,4.55
2026-02-26 21:00:00,3.51,3.89,10.74
