Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-30 11:00:00,1.07,1.09,1.57
2020-07-29 10:00:00,0.53,0.7,31.96
2020-11-03 11:00:00,1.05,1.18,12.9
2021-02-02 11:00:00,1.24,1.28,3.3
2021-05-04 10:00:00,1.24,1.44,15.78
2021-08-03 10:00:00,1.57,1.72,9.25
2021-11-02 10:00:00,1.73,1.75,1.28
2022-02-04 11:00:00,1.71,1.72,0.37
2022-05-03 10:00:00,1.6,1.62,1.43
2022-08-02 10:00:00,1.82,1.87,2.76
2022-11-01 10:00:00,2.01,2.02,0.56
2023-02-08 11:00:00,2.05,2.06,0.58
2023-05-02 10:00:00,1.78,1.88,5.34
2023-08-01 10:00:00,2.11,2.21,4.68
2023-10-31 10:00:00,2.34,2.47,5.71
2024-02-01 11:00:00,2.47,2.55,3.21
2024-04-30 10:00:00,2.29,2.4,4.86
2024-08-01 10:00:00,2.61,2.73,4.5
2024-10-31 10:00:00,2.81,2.84,1.18
2025-01-31 11:00:00,2.81,2.83,0.72
2025-05-02 10:00:00,2.71,2.72,0.55
2025-08-05 11:00:00,2.92,2.95,0.95
2025-11-04 11:00:00,3.05,3.07,0.51
2026-02-03 11:00:00,3.32,3.33,0.34
