Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-29 10:00:00,0.65,0.4,-37.99
2020-07-29 10:00:00,-0.72,-1.2,-66.42
2020-10-28 10:00:00,-0.23,0.48,306.31
2021-01-26 11:00:00,0.68,0.64,-6.33
2021-04-27 10:00:00,0.08,0.24,208.05
2021-07-27 10:00:00,0.27,0.4,49.58
2021-10-26 10:00:00,0.44,0.57,30.03
2022-01-25 11:00:00,0.82,0.92,12.09
2022-04-26 10:00:00,0.22,0.24,7.87
2022-07-26 10:00:00,0.42,0.78,86.22
2022-10-25 10:00:00,0.49,0.35,-28.12
2023-01-24 11:00:00,1.16,1.24,6.97
2023-04-25 10:00:00,0.14,0.27,97.56
2023-07-25 10:00:00,0.46,0.68,48.14
2023-10-24 10:00:00,0.56,0.82,46.28
2024-01-23 11:00:00,0.9,1.03,14.86
2024-04-23 10:00:00,0.7,0.82,16.42
2024-07-23 10:00:00,0.99,1.2,20.79
2024-10-22 10:00:00,1.19,1.56,30.67
2025-01-23 11:00:00,1.04,1.32,26.9
2025-04-22 10:00:00,1.27,1.49,17.51
2025-07-17 10:00:00,1.43,1.66,15.97
2025-10-21 10:00:00,1.47,1.66,13.01
2026-01-22 11:00:00,1.43,1.57,9.81
