Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-28 20:00:00,0.51,0.49,-3.38
2020-07-30 20:00:00,0.41,0.51,23.4
2020-10-29 20:00:00,0.56,0.82,46.24
2021-02-02 21:00:00,0.79,1.12,41.85
2021-04-27 20:00:00,0.78,1.31,67.76
2021-07-27 20:00:00,0.96,1.36,41.37
2021-10-26 20:00:00,1.17,1.4,20.02
2022-02-01 21:00:00,1.36,1.53,12.65
2022-04-26 20:00:00,1.29,1.23,-4.43
2022-07-26 20:00:00,1.29,1.21,-6.05
2022-10-25 20:00:00,1.26,1.06,-16.01
2023-02-02 21:00:00,1.2,1.05,-12.33
2023-04-25 20:00:00,1.07,1.17,9.52
2023-07-25 20:00:00,1.34,1.44,7.23
2023-10-24 20:00:00,1.45,1.55,6.74
2024-01-30 21:00:00,1.6,1.64,2.53
2024-04-25 20:00:00,1.51,1.89,25.58
2024-07-23 20:00:00,1.84,1.89,2.54
2024-10-29 20:00:00,1.85,2.12,14.83
2025-02-04 21:00:00,2.13,2.15,1.18
2025-04-24 20:00:00,2.01,2.81,39.84
2025-07-23 20:00:00,2.19,2.31,5.67
2025-10-29 20:00:00,2.26,2.87,26.88
2026-02-04 21:00:00,2.64,2.82,7.01
