Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-22 21:00:00,0.38,0.4,5.87
2020-07-29 20:00:00,0.41,0.48,18.02
2020-10-21 20:00:00,0.52,0.57,9.15
2021-01-27 21:00:00,0.57,0.6,5.5
2021-04-21 20:00:00,0.66,0.75,13.37
2021-07-28 20:00:00,0.76,0.81,6.27
2021-10-20 20:00:00,0.82,0.84,1.92
2022-01-26 21:00:00,0.85,0.85,0.19
2022-04-20 20:00:00,0.75,0.74,-1.41
2022-07-27 20:00:00,0.73,0.88,20.45
2022-10-19 20:00:00,0.95,1.04,9.19
2023-01-25 21:00:00,1.0,1.07,7.11
2023-04-19 20:00:00,0.65,0.7,7.12
2023-07-26 20:00:00,0.51,0.6,16.53
2023-10-18 20:00:00,0.61,0.69,11.83
2024-01-24 21:00:00,0.71,0.75,5.69
2024-04-24 20:00:00,0.73,0.78,6.78
2024-07-31 20:00:00,0.76,0.81,7.29
2024-10-23 20:00:00,0.81,0.86,6.51
2025-01-29 21:00:00,0.87,0.92,5.63
2025-04-23 20:00:00,1.0,1.04,4.06
2025-07-30 20:00:00,1.21,1.33,10.36
2025-10-22 20:00:00,1.22,1.26,3.27
2026-01-28 21:00:00,1.17,1.27,8.7
