Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-29 21:00:00,1.7,1.71,0.38
2020-07-30 20:00:00,1.37,1.8,31.2
2020-10-29 20:00:00,1.91,2.71,41.95
2021-01-27 21:00:00,3.2,3.88,21.43
2021-04-28 20:00:00,2.35,3.3,40.65
2021-07-28 20:00:00,3.01,3.61,20.04
2021-10-25 20:00:00,3.17,3.22,1.52
2022-02-02 21:00:00,3.83,3.67,-4.1
2022-04-27 20:00:00,2.55,2.72,6.82
2022-07-27 20:00:00,2.55,2.46,-3.56
2022-10-26 20:00:00,1.85,1.64,-11.32
2023-02-01 21:00:00,2.24,1.76,-21.53
2023-04-26 20:00:00,1.98,2.2,11.2
2023-07-26 20:00:00,2.87,2.98,3.77
2023-10-25 20:00:00,3.63,4.39,20.9
2024-02-01 21:00:00,4.94,5.33,7.88
2024-04-24 20:00:00,4.36,4.71,8.11
2024-07-31 20:00:00,4.76,5.16,8.45
2024-10-30 20:00:00,5.29,6.03,13.94
2025-01-29 21:00:00,6.74,8.02,19.0
2025-04-30 20:00:00,5.21,6.43,23.53
2025-07-30 20:00:00,5.86,7.14,21.82
2025-10-29 20:00:00,6.67,7.25,8.66
2026-01-28 21:00:00,8.22,8.88,8.0
