Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-28 20:00:00,0.14,0.18,26.79
2020-08-27 20:00:00,0.2,0.21,3.88
2020-12-03 21:00:00,0.25,0.25,0.06
2021-03-03 21:00:00,0.29,0.29,-0.37
2021-06-07 20:00:00,0.27,0.29,6.21
2021-08-26 20:00:00,0.31,0.34,8.46
2021-12-02 21:00:00,0.38,0.43,12.15
2022-03-03 21:00:00,0.48,0.5,3.55
2022-05-26 20:00:00,0.51,0.52,1.34
2022-08-25 20:00:00,0.56,0.57,0.9
2022-12-01 21:00:00,0.59,0.57,-3.03
2023-03-02 21:00:00,0.47,0.46,-1.8
2023-05-25 20:00:00,0.29,0.31,5.76
2023-08-24 20:00:00,0.32,0.33,1.93
2023-11-30 21:00:00,0.4,0.41,2.21
2024-03-07 21:00:00,0.46,0.46,-0.82
2024-05-30 20:00:00,0.24,0.24,0.7
2024-08-29 20:00:00,0.29,0.3,2.28
2024-12-03 21:00:00,0.41,0.43,5.53
2025-03-05 21:00:00,0.18,0.23,29.58
2025-05-29 20:00:00,0.61,0.62,1.11
2025-08-28 20:00:00,0.67,0.67,-0.51
2025-12-02 21:00:00,0.74,0.76,3.01
2026-03-05 21:00:00,0.79,0.8,1.05
