Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-29 20:00:00,1.27,1.4,10.34
2020-07-22 20:00:00,1.37,1.46,6.42
2020-10-27 20:00:00,1.54,1.82,17.82
2021-01-26 21:00:00,1.64,2.03,23.99
2021-04-27 20:00:00,1.78,1.95,9.67
2021-07-27 20:00:00,1.93,2.17,12.71
2021-10-26 20:00:00,2.08,2.27,9.3
2022-01-25 21:00:00,2.32,2.48,6.97
2022-04-26 20:00:00,2.19,2.22,1.24
2022-07-26 20:00:00,2.3,2.23,-2.85
2022-10-25 20:00:00,2.29,2.35,2.41
2023-01-24 21:00:00,2.32,2.32,0.21
2023-04-25 20:00:00,2.24,2.45,9.52
2023-07-25 20:00:00,2.55,2.69,5.59
2023-10-24 20:00:00,2.65,2.99,12.85
2024-01-30 21:00:00,2.77,2.93,5.83
2024-04-25 20:00:00,2.83,2.94,3.99
2024-07-30 20:00:00,2.93,2.95,0.53
2024-10-30 20:00:00,3.11,3.3,6.25
2025-01-29 21:00:00,3.12,3.23,3.47
2025-04-30 20:00:00,3.22,3.46,7.59
2025-07-30 20:00:00,3.38,3.65,8.01
2025-10-29 20:00:00,3.66,3.72,1.59
2026-01-28 21:00:00,3.92,4.14,5.69
