Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-03-25 20:00:00,0.37,0.45,21.41
2020-06-29 20:00:00,0.76,0.82,7.45
2020-09-29 20:00:00,0.97,1.08,10.9
2021-01-07 21:00:00,0.69,0.78,12.96
2021-03-31 20:00:00,0.95,0.98,3.68
2021-06-30 20:00:00,1.72,1.88,9.15
2021-09-28 20:00:00,2.34,2.42,3.35
2021-12-20 21:00:00,2.11,2.16,2.58
2022-03-29 20:00:00,1.98,2.14,8.07
2022-06-30 20:00:00,2.44,2.59,5.96
2022-09-29 20:00:00,1.37,1.45,5.82
2022-12-21 21:00:00,-0.02,-0.04,-114.02
2023-03-28 20:00:00,-0.88,-1.91,-115.83
2023-06-28 20:00:00,-1.57,-1.43,8.74
2023-09-27 20:00:00,-1.18,-1.07,9.27
2023-12-20 21:00:00,-1.01,-0.95,5.85
2024-03-20 20:00:00,-0.24,0.42,273.75
2024-06-26 20:00:00,0.53,0.62,17.27
2024-09-25 20:00:00,1.11,1.18,5.88
2024-12-18 21:00:00,1.77,1.79,1.36
2025-03-20 20:00:00,1.42,1.56,9.49
2025-06-25 20:00:00,1.59,1.91,19.75
2025-09-23 20:00:00,2.69,2.83,5.39
2025-12-17 21:00:00,3.96,4.78,20.71
