Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-07 12:00:00,0.83,0.45,-45.93
2020-08-06 11:00:00,1.16,1.11,-4.05
2020-11-05 12:00:00,1.93,1.57,-18.77
2021-03-01 12:00:00,0.37,0.26,-30.11
2021-05-06 10:00:00,0.3,0.24,-18.47
2021-08-05 10:00:00,0.88,4.4,399.82
2021-11-04 10:00:00,3.02,1.3,-57.03
2022-02-24 12:00:00,1.16,-1.74,-250.53
2022-05-06 11:00:00,0.63,0.22,-64.44
2022-08-04 10:00:00,0.63,2.16,244.21
2022-11-07 11:00:00,1.08,0.29,-73.02
2023-02-16 11:00:00,1.51,0.47,-69.19
2023-05-04 11:00:00,1.2,0.71,-41.0
2023-08-08 11:00:00,2.44,1.25,-48.85
2023-11-02 10:00:00,4.0,1.41,-64.73
2024-02-28 11:00:00,3.76,1.64,-56.41
2024-05-07 11:00:00,0.93,0.9,-3.08
2024-08-08 10:00:00,1.55,3.37,117.86
2024-11-08 12:00:00,1.95,1.85,-4.95
2025-02-26 11:00:00,0.94,1.52,61.77
2025-05-12 11:00:00,1.69,2.68,58.83
2025-08-06 10:00:00,1.65,1.73,5.05
2025-11-06 12:00:00,2.13,2.78,30.73
2026-02-24 12:00:00,0.89,1.04,16.38
