Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-21 20:00:00,0.04,0.05,6.86
2020-08-19 20:00:00,0.05,0.05,10.66
2020-11-18 21:00:00,0.06,0.07,14.21
2021-02-24 21:00:00,0.07,0.08,10.37
2021-05-26 20:00:00,0.08,0.09,11.44
2021-08-18 20:00:00,0.1,0.1,2.26
2021-11-17 21:00:00,0.11,0.12,5.81
2022-02-16 21:00:00,0.12,0.13,7.97
2022-05-25 20:00:00,0.13,0.14,4.86
2022-08-24 20:00:00,0.05,0.05,-1.49
2022-11-16 21:00:00,0.07,0.06,-17.32
2023-02-22 21:00:00,0.08,0.09,9.45
2023-05-24 20:00:00,0.09,0.11,18.8
2023-08-23 20:00:00,0.21,0.27,29.35
2023-11-21 21:00:00,0.34,0.4,18.73
2024-02-21 21:00:00,0.46,0.52,11.4
2024-05-22 20:00:00,0.56,0.61,9.74
2024-08-28 20:00:00,0.64,0.68,5.66
2024-11-20 21:00:00,0.75,0.81,8.52
2025-02-26 21:00:00,0.85,0.89,5.25
2025-05-28 20:00:00,0.75,0.81,8.02
2025-08-27 20:00:00,1.01,1.05,4.1
2025-11-19 21:00:00,1.26,1.3,3.46
2026-02-25 21:00:00,1.54,1.62,5.32
