Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-21 20:00:00,0.16,0.2,21.94
2020-08-24 20:00:00,0.23,0.25,6.12
2020-11-16 12:00:00,0.22,0.27,21.72
2021-02-22 21:00:00,0.24,0.26,8.04
2021-05-20 20:00:00,0.21,0.23,7.31
2021-08-23 20:00:00,0.24,0.27,11.27
2021-11-18 21:00:00,0.26,0.27,4.51
2022-02-22 21:00:00,0.27,0.29,5.6
2022-05-19 20:00:00,0.28,0.3,6.73
2022-08-22 20:00:00,0.38,0.4,4.94
2022-11-17 21:00:00,0.34,0.42,20.37
2023-02-21 21:00:00,0.39,0.53,35.37
2023-05-23 20:00:00,0.46,0.52,12.62
2023-08-18 20:00:00,0.64,0.72,12.0
2023-11-15 21:00:00,0.58,0.69,18.6
2024-02-20 21:00:00,0.65,0.73,12.2
2024-05-20 20:00:00,0.62,0.66,5.63
2024-08-19 20:00:00,0.71,0.76,6.95
2024-11-20 21:00:00,0.74,0.78,5.76
2025-02-13 21:00:00,0.78,0.81,3.94
2025-05-20 20:00:00,0.77,0.8,3.59
2025-08-18 20:00:00,0.89,0.95,7.31
2025-11-19 21:00:00,0.89,0.93,4.36
2026-02-17 21:00:00,0.94,1.03,9.94
