Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-30 12:00:00,2.26,2.92,29.13
2020-08-06 11:00:00,1.49,2.55,70.63
2020-11-05 12:00:00,2.27,3.07,35.31
2021-02-04 12:00:00,2.58,3.44,33.49
2021-04-29 11:00:00,3.73,4.11,10.28
2021-08-05 11:00:00,4.33,4.38,1.12
2021-11-04 11:00:00,3.7,4.26,15.27
2022-02-03 12:00:00,3.93,4.46,13.59
2022-05-05 11:00:00,4.65,4.83,3.83
2022-08-04 11:00:00,4.7,5.16,9.84
2022-11-03 11:00:00,4.18,4.74,13.3
2023-02-02 12:00:00,4.46,4.76,6.8
2023-05-04 11:00:00,5.02,5.93,18.24
2023-08-03 11:00:00,5.49,6.08,10.77
2023-11-02 11:00:00,5.31,5.96,12.14
2024-02-01 13:00:00,5.26,6.15,16.89
2024-05-02 11:00:00,6.11,6.51,6.52
2024-08-08 11:00:00,6.22,6.77,8.81
2024-10-31 11:00:00,6.14,6.2,0.95
2025-01-30 12:00:00,6.23,6.53,4.88
2025-05-01 11:00:00,6.72,6.94,3.26
2025-08-07 11:00:00,7.08,7.69,8.57
2025-11-06 12:00:00,6.62,7.22,9.01
2026-01-29 12:00:00,7.17,7.65,6.75
