Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-29 20:00:00,0.8,0.88,9.65
2020-07-29 20:00:00,0.71,0.86,20.56
2020-11-04 21:00:00,1.18,1.45,22.83
2021-02-03 21:00:00,2.1,2.17,3.27
2021-04-28 06:00:00,1.67,1.9,14.09
2021-07-28 20:00:00,1.68,1.92,14.11
2021-11-03 20:00:00,2.26,2.55,12.82
2022-02-02 21:00:00,3.0,3.23,7.59
2022-04-27 16:00:00,2.92,3.21,10.08
2022-07-27 20:00:00,2.87,2.96,3.13
2022-11-02 20:00:00,3.13,3.13,-0.13
2023-02-02 21:00:00,2.35,2.37,0.72
2023-05-03 20:00:00,2.16,2.15,-0.24
2023-08-02 20:00:00,1.81,1.87,3.35
2023-11-01 20:00:00,1.91,2.02,5.93
2024-01-31 21:00:00,2.37,2.75,16.1
2024-05-01 20:00:00,2.32,2.44,5.31
2024-07-31 20:00:00,2.26,2.33,3.32
2024-11-06 21:00:00,2.57,2.69,4.74
2025-02-05 21:00:00,2.99,3.41,14.2
2025-04-30 20:00:00,2.82,2.85,1.19
2025-07-30 20:00:00,2.71,2.77,2.05
2025-11-05 21:00:00,2.88,3.0,4.32
2026-02-04 21:00:00,3.4,3.5,2.87
