Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-05-07 21:00:00,0.04,0.08,140.0
2020-08-11 20:00:00,0.05,0.07,29.11
2020-11-03 21:00:00,0.02,0.06,254.84
2021-02-02 21:00:00,0.04,0.06,44.0
2021-05-04 20:00:00,0.05,0.05,6.95
2021-08-10 20:00:00,0.08,0.08,3.85
2021-11-02 20:00:00,0.04,0.06,54.67
2022-02-01 21:00:00,0.08,0.09,13.18
2022-05-03 20:00:00,0.12,0.16,26.71
2022-08-09 20:00:00,0.23,0.26,11.65
2022-11-01 20:00:00,0.28,0.34,21.42
2023-01-31 21:00:00,0.3,0.33,7.71
2023-05-02 20:00:00,0.17,0.16,-4.57
2023-08-08 20:00:00,0.29,0.35,20.72
2023-11-01 20:00:00,0.32,0.34,5.65
2024-01-29 21:00:00,0.52,0.56,8.32
2024-04-30 20:00:00,0.56,0.67,19.4
2024-08-06 20:00:00,0.81,0.63,-23.24
2025-02-25 21:00:00,0.75,0.74,-1.93
2025-02-25 21:00:00,0.59,0.6,1.92
2025-05-06 20:00:00,0.3,0.31,3.78
2025-08-05 20:00:00,0.44,0.41,-6.58
2025-11-04 21:00:00,0.39,0.35,-10.08
2026-02-03 21:00:00,0.49,0.69,41.43
