Earnings Date,eps_estimate,eps_actual,eps_surprise_pct
2020-04-21 21:00:00,1.02,1.3,27.62
2020-07-21 20:00:00,0.92,1.57,71.15
2020-10-20 20:00:00,1.29,1.5,16.41
2021-01-26 21:00:00,1.34,1.86,38.01
2021-04-27 20:00:00,1.58,1.87,18.67
2021-07-21 20:00:00,1.85,2.1,13.62
2021-10-26 20:00:00,2.09,2.12,1.61
2022-01-25 21:00:00,1.96,2.33,18.97
2022-04-26 20:00:00,2.19,2.42,10.44
2022-07-26 20:00:00,2.15,2.52,17.26
2022-10-25 20:00:00,2.42,2.56,5.58
2023-01-24 21:00:00,2.03,2.19,7.92
2023-04-25 20:00:00,1.8,1.85,2.51
2023-07-25 20:00:00,1.76,1.87,6.06
2023-10-24 20:00:00,1.84,1.85,0.33
2024-01-23 21:00:00,1.49,1.46,-2.1
2024-04-23 20:00:00,1.08,1.22,13.13
2024-07-23 20:00:00,1.19,1.17,-1.48
2024-10-22 20:00:00,1.37,1.47,7.08
2025-01-23 21:00:00,1.23,1.3,5.51
2025-04-23 20:00:00,1.1,1.28,16.76
2025-07-22 20:00:00,1.37,1.41,3.2
2025-10-21 20:00:00,1.49,1.57,5.81
2026-01-27 21:00:00,1.28,1.31,2.46
